iter	Passed	Remaining
776	1341	2111
777	1342	2109
778	1344	2107
779	1346	2105
780	1348	2104
781	1350	2103
782	1351	2100
783	1352	2098
784	1354	2096
785	1355	2094
786	1357	2091
787	1358	2089
788	1360	2087
789	1362	2086
790	1364	2085
791	1365	2083
792	1367	2080
793	1368	2078
794	1369	2076
795	1371	2074
796	1372	2071
797	1374	2069
798	1375	2067
799	1377	2066
800	1379	2065
801	1380	2062
802	1382	2060
803	1383	2058
804	1385	2056
805	1386	2054
806	1388	2052
807	1390	2050
808	1392	2049
809	1394	2048
810	1395	2046
811	1397	2044
812	1398	2042
813	1400	2040
814	1401	2037
815	1402	2035
816	1404	2033
817	1405	2031
818	1407	2029
819	1409	2028
820	1411	2026
821	1412	2024
822	1413	2021
823	1415	2019
824	1416	2017
825	1417	2015
826	1419	2013
827	1420	2011
828	1422	2009
829	1423	2007
830	1425	2005
831	1426	2003
832	1428	2000
833	1429	1998
834	1430	1996
835	1432	1994
836	1433	1992
837	1435	1990
838	1436	1987
839	1438	1985
840	1439	1984
841	1441	1982
842	1442	1980
843	1444	1978
844	1445	1975
845	1446	1973
846	1448	1971
847	1449	1968
848	1450	1966
849	1452	1964
850	1453	1962
851	1454	1960
852	1457	1959
853	1458	1957
854	1460	1955
855	1461	1953
856	1463	1951
857	1464	1949
858	1465	1946
859	1467	1944
860	1468	1942
861	1469	1940
862	1472	1939
863	1473	1937
864	1474	1935
865	1476	1933
866	1477	1930
867	1478	1928
868	1480	1926
869	1481	1924
870	1483	1922
871	1484	1920
872	1486	1918
873	1488	1917
874	1489	1915
875	1490	1912
876	1492	1910
877	1493	1908
878	1494	1906
879	1495	1903
880	1497	1902
881	1499	1900
882	1501	1899
883	1503	1897
884	1504	1895
885	1506	1893
886	1507	1891
887	1508	1889
888	1510	1887
889	1511	1885
890	1513	1883
891	1514	1881
892	1516	1880
893	1518	1878
894	1520	1877
895	1522	1876
896	1524	1874
897	1525	1871
898	1526	1869
899	1528	1867
900	1529	1866
901	1531	1864
902	1533	1863
903	1535	1861
904	1537	1859
905	1538	1857
906	1539	1855
907	1541	1853
908	1542	1851
909	1543	1849
910	1545	1847
911	1546	1845
912	1548	1843
913	1550	1842
914	1552	1840
915	1553	1838
916	1554	1836
917	1556	1834
918	1557	1832
919	1559	1830
920	1560	1828
921	1562	1826
922	1563	1824
923	1565	1823
924	1567	1821
925	1568	1819
926	1570	1817
927	1571	1815
928	1573	1813
929	1574	1811
930	1576	1809
931	1577	1807
932	1578	1805
933	1580	1804
934	1582	1802
935	1583	1800
936	1585	1798
937	1586	1796
938	1587	1793
939	1589	1792
940	1590	1790
941	1591	1787
942	1593	1785
943	1594	1784
944	1596	1782
945	1598	1780
946	1599	1778
947	1601	1776
948	1602	1774
949	1604	1772
950	1605	1770
951	1606	1768
952	1608	1766
953	1609	1764
954	1611	1763
955	1613	1762
956	1614	1760
957	1616	1757
958	1617	1755
959	1618	1753
960	1619	1751
961	1621	1749
962	1622	1747
963	1624	1745
964	1625	1743
965	1627	1741
966	1629	1740
967	1630	1738
968	1631	1736
969	1633	1734
970	1634	1732
971	1635	1730
972	1637	1728
973	1638	1726
974	1639	1723
975	1641	1722
976	1643	1721
977	1645	1719
978	1646	1716
979	1647	1714
980	1648	1712
981	1650	1710
982	1651	1708
983	1652	1706
984	1654	1704
